"","Car_id","Date","Gender","Annual.Income","Company","Model","Engine","Transmission","Color","Price","Body.Style","Dealer_Region"
"1","C_CND_000001","1/2/2022","Male",13500,"Ford","Expedition","DoubleÂ Overhead Camshaft","Auto","Black",26000,"SUV","Middletown"
"2","C_CND_000002","1/2/2022","Male",1480000,"Dodge","Durango","DoubleÂ Overhead Camshaft","Auto","Black",19000,"SUV","Aurora"
"3","C_CND_000003","1/2/2022","Male",1035000,"Cadillac","Eldorado","Overhead Camshaft","Manual","Red",31500,"Passenger","Greenville"
"4","C_CND_000004","1/2/2022","Male",13500,"Toyota","Celica","Overhead Camshaft","Manual","Pale White",14000,"SUV","Pasco"
"5","C_CND_000005","1/2/2022","Male",1465000,"Acura","TL","DoubleÂ Overhead Camshaft","Auto","Red",24500,"Hatchback","Janesville"
"6","C_CND_000006","1/2/2022","Male",850000,"Mitsubishi","Diamante","Overhead Camshaft","Manual","Pale White",12000,"Hatchback","Scottsdale"
"7","C_CND_000007","1/2/2022","Male",1600000,"Toyota","Corolla","Overhead Camshaft","Manual","Pale White",14000,"Passenger","Austin"
"8","C_CND_000008","1/2/2022","Male",13500,"Mitsubishi","Galant","DoubleÂ Overhead Camshaft","Auto","Pale White",42000,"Passenger","Austin"
"9","C_CND_000009","1/2/2022","Male",815000,"Chevrolet","Malibu","Overhead Camshaft","Manual","Pale White",82000,"Hardtop","Pasco"
"10","C_CND_000010","1/2/2022","Female",13500,"Ford","Escort","DoubleÂ Overhead Camshaft","Auto","Pale White",15000,"Passenger","Scottsdale"
"11","C_CND_000011","1/2/2022","Male",13500,"Acura","RL","Overhead Camshaft","Manual","Pale White",31000,"SUV","Austin"
"12","C_CND_000012","1/2/2022","Male",13500,"Nissan","Pathfinder","DoubleÂ Overhead Camshaft","Auto","Pale White",46000,"Hardtop","Pasco"
"13","C_CND_000013","1/2/2022","Male",885000,"Mercury","Grand Marquis","DoubleÂ Overhead Camshaft","Auto","Black",9000,"SUV","Aurora"
"14","C_CND_000014","1/2/2022","Male",13500,"BMW","323i","DoubleÂ Overhead Camshaft","Auto","Pale White",15000,"Hatchback","Greenville"
"15","C_CND_000015","1/2/2022","Male",722000,"Chrysler","Sebring Coupe","Overhead Camshaft","Manual","Pale White",26000,"Sedan","Middletown"
"16","C_CND_000016","1/2/2022","Male",746000,"Subaru","Forester","Overhead Camshaft","Manual","Pale White",17000,"Hatchback","Aurora"
"17","C_CND_000017","1/2/2022","Female",535000,"Hyundai","Accent","Overhead Camshaft","Manual","Black",18000,"Hatchback","Greenville"
"18","C_CND_000018","1/2/2022","Female",570000,"Cadillac","Eldorado","DoubleÂ Overhead Camshaft","Auto","Pale White",31000,"Passenger","Pasco"
"19","C_CND_000019","1/2/2022","Male",685000,"Toyota","Land Cruiser","DoubleÂ Overhead Camshaft","Auto","Pale White",33000,"SUV","Janesville"
"20","C_CND_000020","1/2/2022","Male",455000,"Honda","Accord","DoubleÂ Overhead Camshaft","Auto","Pale White",21000,"Sedan","Scottsdale"
"21","C_CND_000021","1/2/2022","Male",13500,"Toyota","4Runner","Overhead Camshaft","Manual","Black",25000,"Sedan","Austin"
"22","C_CND_000022","1/2/2022","Male",2500000,"Infiniti","I30","DoubleÂ Overhead Camshaft","Auto","Black",21000,"Hardtop","Austin"
"23","C_CND_000023","1/2/2022","Male",585000,"Audi","A4","Overhead Camshaft","Manual","Pale White",12000,"Hardtop","Middletown"
"24","C_CND_000024","1/2/2022","Male",920000,"Porsche","Carrera Cabrio","DoubleÂ Overhead Camshaft","Auto","Pale White",18000,"Passenger","Pasco"
"25","C_CND_000025","1/2/2022","Male",672000,"Volkswagen","Jetta","DoubleÂ Overhead Camshaft","Auto","Pale White",22000,"Passenger","Janesville"
"26","C_CND_000026","1/2/2022","Male",801250,"Dodge","Viper","DoubleÂ Overhead Camshaft","Auto","Pale White",31250,"SUV","Scottsdale"
"27","C_CND_000027","1/2/2022","Female",820000,"Buick","Regal","DoubleÂ Overhead Camshaft","Auto","Black",19000,"Passenger","Austin"
"28","C_CND_000028","1/2/2022","Male",791000,"Chrysler","LHS","Overhead Camshaft","Manual","Pale White",41000,"Hatchback","Janesville"
"29","C_CND_000029","1/2/2022","Male",13500,"Chrysler","LHS","Overhead Camshaft","Manual","Pale White",41000,"Hatchback","Janesville"
"30","C_CND_000030","1/2/2022","Male",1020000,"Saturn","LW","Overhead Camshaft","Manual","Pale White",13000,"Hatchback","Scottsdale"
"31","C_CND_000031","1/2/2022","Male",210000,"Mitsubishi","3000GT","Overhead Camshaft","Manual","Pale White",20000,"Sedan","Austin"
"32","C_CND_000032","1/2/2022","Male",750000,"Mercedes-B","SLK230","Overhead Camshaft","Manual","Pale White",14000,"Hatchback","Middletown"
"33","C_CND_000033","1/2/2022","Male",635000,"Honda","Accord","DoubleÂ Overhead Camshaft","Auto","Pale White",19000,"Sedan","Aurora"
"34","C_CND_000034","1/2/2022","Male",675000,"Honda","Civic","Overhead Camshaft","Manual","Black",43000,"Hatchback","Greenville"
"35","C_CND_000035","1/2/2022","Male",880000,"Jaguar","S-Type","DoubleÂ Overhead Camshaft","Auto","Black",16000,"Passenger","Pasco"
"36","C_CND_000036","1/3/2022","Male",13500,"Volvo","S40","DoubleÂ Overhead Camshaft","Auto","Pale White",42000,"Sedan","Middletown"
"37","C_CND_000037","1/3/2022","Male",13500,"Mercury","Mountaineer","DoubleÂ Overhead Camshaft","Auto","Pale White",21000,"SUV","Aurora"
"38","C_CND_000038","1/3/2022","Male",13500,"Buick","Park Avenue","DoubleÂ Overhead Camshaft","Auto","Black",61000,"Hatchback","Greenville"
"39","C_CND_000039","1/3/2022","Male",941000,"Mitsubishi","Montero Sport","DoubleÂ Overhead Camshaft","Auto","Pale White",39000,"SUV","Pasco"
"40","C_CND_000040","1/3/2022","Female",13500,"Nissan","Sentra","DoubleÂ Overhead Camshaft","Auto","Black",16000,"Passenger","Pasco"
"41","C_CND_000041","1/3/2022","Male",13500,"Chrysler","Sebring Coupe","Overhead Camshaft","Manual","Pale White",26000,"Sedan","Janesville"
"42","C_CND_000042","1/3/2022","Female",13500,"Volvo","S80","Overhead Camshaft","Manual","Pale White",21000,"Sedan","Scottsdale"
"43","C_CND_000043","1/3/2022","Male",967500,"Chevrolet","Lumina","Overhead Camshaft","Manual","Black",42500,"Passenger","Austin"
"44","C_CND_000044","1/3/2022","Male",600000,"Mitsubishi","Montero Sport","DoubleÂ Overhead Camshaft","Auto","Black",45001,"Hatchback","Middletown"
"45","C_CND_000045","1/3/2022","Male",575000,"Pontiac","Bonneville","Overhead Camshaft","Manual","Black",36001,"Hatchback","Aurora"
"46","C_CND_000046","1/3/2022","Male",566000,"Mercedes-B","C-Class","Overhead Camshaft","Manual","Pale White",12000,"Hatchback","Greenville"
"47","C_CND_000047","1/3/2022","Male",1250000,"BMW","323i","Overhead Camshaft","Manual","Pale White",21001,"Hatchback","Pasco"
"48","C_CND_000048","1/3/2022","Male",730000,"Acura","TL","DoubleÂ Overhead Camshaft","Auto","Pale White",29000,"Hatchback","Scottsdale"
"49","C_CND_000049","1/3/2022","Male",4060000,"Nissan","Altima","DoubleÂ Overhead Camshaft","Auto","Pale White",20000,"Hatchback","Austin"
"50","C_CND_000050","1/3/2022","Male",13500,"Cadillac","DeVille","DoubleÂ Overhead Camshaft","Auto","Pale White",22000,"SUV","Middletown"
"51","C_CND_000051","1/3/2022","Male",1180000,"Dodge","Stratus","DoubleÂ Overhead Camshaft","Auto","Pale White",31000,"Hatchback","Aurora"
"52","C_CND_000052","1/3/2022","Male",1360000,"Audi","A4","DoubleÂ Overhead Camshaft","Auto","Black",27000,"Hardtop","Austin"
"53","C_CND_000053","1/3/2022","Female",640000,"Mercury","Cougar","DoubleÂ Overhead Camshaft","Auto","Black",33000,"Hatchback","Scottsdale"
"54","C_CND_000054","1/3/2022","Male",615000,"Chevrolet","Malibu","Overhead Camshaft","Manual","Pale White",14000,"Hardtop","Middletown"
"55","C_CND_000055","1/3/2022","Male",520000,"Acura","RL","Overhead Camshaft","Manual","Pale White",17000,"SUV","Middletown"
"56","C_CND_000056","1/4/2022","Male",1876000,"Saturn","SW","DoubleÂ Overhead Camshaft","Auto","Pale White",25600,"Passenger","Janesville"
"57","C_CND_000057","1/4/2022","Male",13500,"Volvo","C70","Overhead Camshaft","Manual","Black",17000,"Hatchback","Scottsdale"
"58","C_CND_000058","1/4/2022","Male",13500,"Mercury","Mountaineer","Overhead Camshaft","Manual","Pale White",21000,"SUV","Austin"
"59","C_CND_000059","1/4/2022","Male",890000,"Mercedes-B","C-Class","Overhead Camshaft","Manual","Pale White",12000,"Hatchback","Middletown"
"60","C_CND_000060","1/4/2022","Male",1800000,"Mercedes-B","SLK","Overhead Camshaft","Manual","Pale White",17000,"Passenger","Aurora"
"61","C_CND_000061","1/4/2022","Male",1330000,"Toyota","Tacoma","Overhead Camshaft","Manual","Black",36000,"Hardtop","Janesville"
"62","C_CND_000062","1/4/2022","Male",393000,"Mercedes-B","C-Class","Overhead Camshaft","Manual","Pale White",17000,"Hatchback","Janesville"
"63","C_CND_000063","1/4/2022","Male",440000,"Mercedes-B","M-Class","Overhead Camshaft","Manual","Pale White",41000,"Hatchback","Austin"
"64","C_CND_000064","1/4/2022","Female",280000,"Audi","A6","DoubleÂ Overhead Camshaft","Auto","Black",14000,"SUV","Middletown"
"65","C_CND_000065","1/4/2022","Male",1151000,"Dodge","Intrepid","DoubleÂ Overhead Camshaft","Auto","Pale White",31100,"Sedan","Greenville"
"66","C_CND_000066","1/4/2022","Male",1650000,"Buick","Park Avenue","DoubleÂ Overhead Camshaft","Auto","Black",61000,"Hatchback","Pasco"
"67","C_CND_000067","1/4/2022","Male",13500,"Dodge","Viper","Overhead Camshaft","Manual","Black",26000,"SUV","Janesville"
"68","C_CND_000068","1/4/2022","Male",895000,"Toyota","Sienna","Overhead Camshaft","Manual","Black",12000,"Passenger","Aurora"
"69","C_CND_000069","1/4/2022","Female",660000,"Volvo","S40","DoubleÂ Overhead Camshaft","Auto","Pale White",42000,"Sedan","Greenville"
"70","C_CND_000070","1/4/2022","Male",13500,"Mitsubishi","Diamante","DoubleÂ Overhead Camshaft","Auto","Pale White",21000,"Hatchback","Pasco"
"71","C_CND_000071","1/5/2022","Male",1636000,"Cadillac","DeVille","DoubleÂ Overhead Camshaft","Auto","Pale White",22600,"SUV","Middletown"
"72","C_CND_000072","1/5/2022","Female",1000000,"Jaguar","S-Type","Overhead Camshaft","Manual","Pale White",45000,"Passenger","Aurora"
"73","C_CND_000073","1/5/2022","Female",745000,"Mitsubishi","Eclipse","Overhead Camshaft","Manual","Black",25000,"SUV","Greenville"
"74","C_CND_000074","1/5/2022","Male",300000,"Ford","Contour","DoubleÂ Overhead Camshaft","Auto","Pale White",62000,"Sedan","Pasco"
"75","C_CND_000075","1/5/2022","Male",1097000,"Volkswagen","Jetta","DoubleÂ Overhead Camshaft","Auto","Black",22700,"Passenger","Janesville"
"76","C_CND_000076","1/5/2022","Female",542000,"Mitsubishi","Montero Sport","DoubleÂ Overhead Camshaft","Auto","Black",45000,"SUV","Scottsdale"
"77","C_CND_000077","1/5/2022","Male",1200000,"Lincoln","Town car","Overhead Camshaft","Manual","Black",17000,"Hatchback","Pasco"
"78","C_CND_000078","1/5/2022","Male",490000,"Ford","Focus","Overhead Camshaft","Manual","Black",49000,"Hardtop","Austin"
"79","C_CND_000079","1/5/2022","Male",410000,"Audi","A6","Overhead Camshaft","Manual","Black",15000,"SUV","Scottsdale"
"80","C_CND_000080","1/5/2022","Male",930000,"Acura","TL","DoubleÂ Overhead Camshaft","Auto","Black",28000,"Hatchback","Austin"
"81","C_CND_000081","1/5/2022","Male",480000,"Nissan","Pathfinder","DoubleÂ Overhead Camshaft","Auto","Pale White",46000,"Hardtop","Greenville"
"82","C_CND_000082","1/5/2022","Female",1360000,"Ford","Mustang","Overhead Camshaft","Manual","Pale White",43000,"Hatchback","Aurora"
